id,label,count,start,end
#lesaviezvous,#lesaviezvous,1,2017-02-08,2017-02-08
#pourallerplushaut,#pourallerplushaut,1,2017-02-08,2017-02-08
#argentpublic,#argentpublic,1,2017-02-08,2017-02-08
#neosarko,#neosarko,1,2017-02-08,2017-02-08
#pievoleuse,#pievoleuse,1,2017-02-08,2017-02-08
#bonifaziu,#bonifaziu,1,2017-02-08,2017-02-08
#sulidarità,#sulidarità,5,2017-01-05,2017-02-07
#suivre,#suivre,1,2017-02-07,2017-02-07
#follow,#follow,1,2017-02-07,2017-02-07
#unfollow,#unfollow,1,2017-02-07,2017-02-07
#enjoy,#enjoy,1,2017-02-07,2017-02-07
#respire,#respire,1,2017-02-07,2017-02-07
#penelopefillon,#penelopefillon,8,2017-01-24,2017-03-28
#envoyespecialgate,#envoyespecialgate,1,2017-02-06,2017-02-06
#confpressefillon,#confpressefillon,12,2017-02-06,2017-02-07
#factchecking,#factchecking,5,2017-01-05,2017-05-22
#google,#google,1,2017-02-06,2017-02-06
#facebook,#facebook,23,2017-01-13,2017-05-24
#inmemoria,#inmemoria,1,2017-02-05,2017-02-05
#melenchon,#melenchon,175,2017-01-13,2017-05-30
#erichalphen,#erichalphen,1,2017-02-05,2017-02-05
#envoyespecial,#envoyespecial,28,2017-02-02,2017-05-25
#penelopegate,#penelopegate,61,2017-01-24,2017-05-03
#stopchasseàlhomme,#stopchasseàlhomme,4,2017-02-01,2017-02-05
#qg,#qg,8,2017-01-18,2017-05-27
#bfc,#bfc,3,2017-01-31,2017-03-01
#quebecmosqueattack,#quebecmosqueattack,2,2017-01-31,2017-01-31
#primaire,#primaire,28,2017-01-02,2017-03-29
#primairegauche,#primairegauche,127,2017-01-01,2017-02-22
#maestria,#maestria,1,2017-01-30,2017-01-30
#economieverte,#economieverte,1,2017-01-29,2017-01-29
#fillonlavillette,#fillonlavillette,162,2017-01-29,2017-01-30
#fillonlavilette,#fillonlavilette,1,2017-01-29,2017-01-29
#signe,#signe,1,2017-01-27,2017-01-27
#affiche,#affiche,2,2017-01-27,2017-05-24
#opposition,#opposition,1,2017-01-27,2017-01-27
#graphisme,#graphisme,1,2017-01-27,2017-01-27
#emancipation,#emancipation,1,2017-01-27,2017-01-27
#jtfillon,#jtfillon,30,2017-01-03,2017-01-27
#confiance,#confiance,11,2017-01-26,2017-05-27
#fessenheim,#fessenheim,27,2017-01-24,2017-05-19
#primairedelatriche,#primairedelatriche,9,2017-01-23,2017-01-25
#primairesgauche,#primairesgauche,53,2017-01-20,2017-01-29
#mediterraneo,#mediterraneo,1,2017-01-23,2017-01-23
#fillonoyonnax,#fillonoyonnax,7,2017-01-19,2017-01-19
#ain,#ain,14,2017-01-10,2017-05-08
#oyonnax,#oyonnax,3,2017-01-19,2017-03-06
#patrickwatson,#patrickwatson,1,2017-01-18,2017-01-18
#satie,#satie,1,2017-01-18,2017-01-18
#giflegate,#giflegate,1,2017-01-17,2017-01-17
#primaireledebat,#primaireledebat,332,2017-01-12,2017-01-26
#omaggiu,#omaggiu,1,2017-01-15,2017-01-15
#méditerranée,#méditerranée,1,2017-01-11,2017-01-11
#europe,#europe,202,2017-01-01,2017-05-28
#dhenry,#dhenry,1,2017-01-11,2017-01-11
#fn,#fn,136,2017-01-03,2017-05-31
#les4verites,#les4verites,18,2017-01-05,2017-04-11
#afp,#afp,3,2017-01-09,2017-03-17
#saitpascommentfairepouressayerdesalir,#saitpascommentfairepouressayerdesalir,1,2017-01-09,2017-01-09
#forcesvives,#forcesvives,1,2017-01-09,2017-01-09
#lozzi,#lozzi,1,2017-01-07,2017-01-07
#avvene,#avvene,1,2017-01-07,2017-01-07
#muntagnaviva,#muntagnaviva,1,2017-01-07,2017-01-07
#crèche,#crèche,3,2017-01-07,2017-01-07
#ces,#ces,1,2017-01-06,2017-01-06
#demucrazia,#demucrazia,1,2017-01-05,2017-01-05
#michelleclerc,#michelleclerc,1,2017-01-01,2017-01-01
#lenomdesgens,#lenomdesgens,1,2017-01-01,2017-01-01
#gramsci,#gramsci,1,2017-01-01,2017-01-01
