id,label,username,followers
328510700,StephaneVojetta,Stéphane Vojetta,4646.0
862754226589577216,XavierBatut,Xavier Batut,7607.0
120521019,alexisjollyrn,Alexis Jolly 🇫🇷Ⓜ️,3241.0
17137760,erwanbalanant,Erwan Balanant,5847.0
1520920839604080644,LeoWalter04,Léo Walter,1584.0
1605436740,ThierryBenoit35,Thierry BENOIT,3704.0
858041350494793728,Deputee_Obono,Députée Obono,92499.0
486927132,IanBoucard,Ian Boucard,4712.0
436939817,SabrinaSebaihi,Sabrina Sebaihi,3444.0
389644606,YaelBRAUNPIVET,Yaël BRAUN-PIVET,34866.0
360530166,romaindaubie,Romain Daubié,597.0
793725741355630592,denis_Masseglia,Denis Masséglia,7191.0
365505352,VigierPhilippe,Philippe Vigier,12113.0
493628470,EmericSalmon,Emeric Salmon Ⓜ️🇫🇷,3898.0
980242016,PatrickVignal,Patrick Vignal,9132.0
440914834,JulienOdoul,Julien ODOUL,48351.0
1522865560987574272,PhilippeFait22,Philippe Fait,121.0
326680674,Benjam1Lucas,Benjamin LUCAS,19639.0
1603776488,FraPiquemal,François Piquemal,4925.0
213754264,faureolivier,Olivier Faure,91816.0
37509285,auroreberge,Aurore Bergé,81419.0
1354822700548509704,LamiraultLuc,Luc Lamirault,533.0
3018288268,ALehenanff,Anne Le Hénanff,2076.0
1525806145310445568,thierry_frappe,Thierry Frappé,286.0
1324449588,Fabien_Roussel,Fabien Roussel,79594.0
86740782,LMarcangeli,Laurent Marcangeli,11702.0
489348571,_EvaSas,Eva SAS,11363.0
38188152,iordanoff,Jérémie Iordanoff,2763.0
864560136974737408,ClairePitollat,Claire Pitollat,7864.0
801822323825410049,Francois_Ruffin,François Ruffin,324938.0
93939435,BentzChristophe,Christophe Bentz,1828.0
384713598,EYoussouffa,estelle Youssouffa,1116.0
2822339036,AstridPanosyan,Astrid Panosyan-Bouvet,10748.0
802997806252388352,LoicKervran18,Loic Kervran,4107.0
903517622,Moetai1,Moetai Brotherson,1110.0
1071906997,VictorCatteau,☰ Victor Catteau,5914.0
1414879766201700352,HubertWulfranc,WULFRANC Hubert,1192.0
863333535066836993,PBertaGard,Philippe Berta,6386.0
536485159,OlivierFalorni,Olivier Falorni,6885.0
454336881,barbarapompili,Barbara Pompili,100250.0
955565682,davidtaupiac,David TAUPIAC,806.0
308514268,SachaHoulie,Sacha Houlié,37072.0
926414640946581505,l_saintpaul,Laetitia Saint-Paul,2419.0
830432207231647744,RoyerPerreaut,Lionel Royer-Perreaut,2724.0
514546669,MTabarot,Michèle Tabarot,6816.0
245747441,florent_boudie,Florent Boudié,6459.0
